Country,Birth Rate,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Mobile Phone Usage,Life Expectancy Average,Net Tourism Impact,Dependency Ratio,Urban_Rate,CO2_per_capita
Burkina Faso,0.04401688541677432,3.713572066704308,9.57073837671504,22.299881135786578,0.05921185963184608,3.2188758248682006,5.480638923341991,0.08525984395082342,0.0,0.11332868530700317,0.0,3.970113882572851,-0.25344889650414615,0.9937219617116124,0.24249400694847303,0.4277337097285301
Burundi,0.04210117601863539,2.639057329615259,9.57073837671504,20.634715812117797,0.0925791812930932,2.302585092994046,5.480638923341991,0.0760346862759976,0.0,0.16805358499624973,0.0,3.921532008346027,-2.125263919070761,0.9838015507795282,0.1156573140741267,0.3343453368377288
Cameroon,0.04018178963283183,3.828641396489095,8.847934753328465,23.481714859254282,0.044973365642731154,3.7376696182833684,5.480638923341991,0.07788653865707122,0.0,0.16551443847757338,0.09531017980432487,3.970113882572851,-0.6197646324470085,0.9536962425461015,0.4930612140330991,0.4963844147690153
Central African Republic,0.037295784743696894,3.1354942159291497,9.57073837671504,20.962345907862563,0.04018178963283183,2.70805020110221,5.480638923341991,0.10466782725564819,0.0,0.16551443847757338,0.0,3.881417612930858,-1.4116120721490582,0.9029491937027181,0.4462284167458776,0.3536099690716576
Chad,0.04879016416943201,4.174387269895637,9.57073837671504,22.20825762172292,0.04974209189481407,3.1780538303479458,5.480638923341991,0.09712671073072274,0.0,0.16551443847757338,0.0,3.886148956981566,0.41202250791377537,1.0866829066279575,0.2577790157362133,0.3691573769168584
Comoros,0.03825871211709034,3.295836866004329,7.325850564571936,19.708315656473758,0.039220713153281295,3.258096538021482,5.480638923341991,0.06859279146561172,0.0,0.10436001532424277,0.0,4.085658437359865,0.8472977968951447,0.8504087317167258,0.3895718004142851,0.3497273462748163
"Congo, Dem. Rep.",0.044973365642731154,4.339193295242584,9.864330837334935,23.055165150720995,0.05259245011917058,2.0794415416798357,5.480638923341991,0.10255658832509207,0.0,0.11332868530700317,0.0,3.8868806641173106,0.41202250791377537,0.9918752858714639,0.3723286687137404,0.4257910038888772
"Congo, Rep.",0.03825871211709034,3.6375861597263857,7.325850564571936,22.25983813994377,0.02566774674857779,3.5553480614894135,5.480638923341991,0.0639133257436528,0.0,0.16551443847757338,0.09531017980432487,3.997821802143636,-2.030651339902178,0.8910313542079629,0.6607673895531496,0.46998614617482554
Cote d'Ivoire,0.036331929247390274,4.07753744390572,9.138092207768558,23.462885283818807,0.054488185284069734,3.9318256327243257,5.480638923341991,0.08709470685093376,0.0,0.11332868530700317,0.09531017980432487,3.881417612930858,-1.8365296939014648,0.8727377362423542,0.4793719778043751,0.536970901185306
Djibouti,0.028587456851912555,3.295836866004329,7.325850564571936,20.316908485407435,0.0657877405380031,4.060443010546419,5.480638923341991,0.07045846364856141,0.0,0.10616019582839063,0.0,4.068697915028325,-0.7221346418029544,0.7703022877696206,0.8833756674024235,0.4523736232946846
"Egypt, Arab Rep.",0.023716526617316044,3.6375861597263857,10.888128282631826,25.090752092181997,0.05164323315183845,4.060443010546419,5.480638923341991,0.02664193094642118,0.09531017980432487,0.12575120530556033,0.09531017980432487,4.254983573162249,1.4112556565942675,0.7037579027022275,0.41608747159982984,0.6598153742549497
