Country,Birth Rate,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Mobile Phone Usage,Life Expectancy Average,Net Tourism Impact,Dependency Ratio,Urban_Rate,CO2_per_capita
Luxembourg,-1.044823946402089,-0.3335532793513794,-0.7091664703493998,-0.1788890862092238,0.7397106002417589,2.1536896078514824,-1.7048356190328453,-1.0338246771604072,2.6352815914709047,-0.17350145673420425,1.8067782133339114,1.1825216793772915,-0.01124843564925515,-0.8316837888615913,-0.003307935991816582,0.14669684268621183
"Macedonia, FYR",-1.044823946402089,-1.2823520037003482,-0.7482897436512125,-0.5988890485404799,0.25450899274405525,-0.2425031341261294,-0.9238068188319591,-0.7537393201439765,1.0600837084452455,-0.4890680953569422,0.7147472130981174,0.5668321607359904,-0.3237808335945499,-1.1147890817021786,-0.2933955640227335,-0.19397533537706746
Malta,-1.1349305979001831,-0.2386734069164825,-0.8177890780581004,-0.6116037954711202,0.8720383113774965,2.1536896078514824,-0.15994348676735617,-0.8937819986521919,1.4538831792016602,-1.4191592407713283,0.9331534131452762,1.1825216793772915,0.13951058450497292,-1.0342101708999967,0.0970638220289676,-0.17997989816443594
Moldova,-0.9547172949039946,-0.9977123863956575,-0.7359889764995509,-0.6394589354094691,2.72462626727782,-0.4594039207585156,-0.25435356151691385,-0.5436753023816535,0.2724847669324157,1.238244031841203,0.05952861295664072,-0.048857357905310754,-0.42635203908760916,-1.2436866459084297,-0.3215113681814205,-0.28737140126639904
Monaco,-0.23386408291924027,-0.2386734069164825,-0.35442601321453704,-0.6382215934647061,-0.8923311704323361,2.1536896078514824,-0.15994348676735617,-0.9988140075333535,1.847682649958075,-0.17350145673420425,0.05952861295664072,0.31029486130211487,-0.220177032073037,-0.39046331311423205,4.977911976454875,4.962445382464844
Montenegro,-0.9547172949039946,-0.9028325139607606,-0.81037444896946,-0.6528764961363365,-0.010146429527419808,-0.021862678758702035,0.9815601442954774,-0.8587713290251381,0.6662842376888307,-0.6053294885337406,3.3356216136640238,0.5668321607359904,0.11266308776517889,-0.7963102203128498,-0.14953504573071807,-0.24992309275080143
Netherlands,-1.044823946402089,-1.0925922588305543,1.8268075219538544,2.1331311472873105,2.459970845006345,2.1536896078514824,-0.8036485418779766,-0.9638033379062996,2.6352815914709047,-1.8343785021170362,1.3699658132395938,1.2338291392640666,0.9113761157740515,-0.7246169847995022,-0.33577486096334863,-0.11790129475821447
Norway,-0.8646106434059003,-1.1400321950480028,0.17303771600824067,2.1331311472873105,1.666004578191921,2.1536896078514824,-1.4645190651248803,-0.9988140075333535,2.6352815914709047,-1.452376781678985,1.1515596131924353,1.2338291392640666,-1.7508285449174485,-0.5898041005977903,-0.3143070889169561,-0.09692211918994435
Poland,-1.044823946402089,0.04596621038820811,2.3675970822575985,2.1331311472873105,0.3868367038797922,0.7055028902068,1.1789630278627343,-0.9287926682792457,1.4538831792016602,-0.17350145673420425,1.3699658132395938,0.7207545403963156,0.9113761157740515,-1.1935648280668287,-0.3427651017670079,-0.23018527900027483
Portugal,-1.2250372493982775,-1.2349120674828997,-0.019093433141184665,1.7552626996377363,1.9747692375086414,2.1536896078514824,0.6039198452972467,-0.9988140075333535,1.0600837084452455,-0.17350145673420425,1.1515596131924353,1.0285992997169662,2.5194723307524844,-0.6761070626135894,-0.3348802471210546,-0.1939423582960199
